name, artist, id, danceability, energy, loudness, speechiness, acousticness, instrumentalness, liveness, valence, tempo, popularity
"Handle On You","Parker McCollum",6Qpfsw8OS5HW5XxgmXYLWS,0.588,0.931,-3.925,0.0318,0.00411,0,0.345,0.625,105.027,78
"wait in the truck (feat. Lainey Wilson)","HARDY",7trjNYF5ek7zX4GKSHQZbP,0.534,0.466,-6.98,0.0272,0.277,0,0.0979,0.23,140.0,76
"TQG","KAROL G",2oMjKuKUEJFuLiVmTq7Vjx,0.839,0.65,-3.38,0.212,0.666,0,0.126,0.7,90.015,85
"Snooze","SZA",4iZ4pt7kvcaH6Yo8UoZ4s2,0.559,0.551,-7.231,0.132,0.141,0,0.11,0.392,143.008,92
"Rich Flex","Drake",1bDbXMyjaUIooNwFE9wn0N,0.561,0.52,-9.342,0.244,0.0503,1.86e-06,0.355,0.424,153.15,91
"Heart Like A Truck","Lainey Wilson",5ZCjp56T8J6d7amJyFSzrI,0.587,0.632,-5.416,0.0311,0.148,1.01e-05,0.158,0.392,139.974,75
"Dancin’ In The Country","Tyler Hubbard",6Z1bV93BP95h4YjIavrQPf,0.655,0.869,-4.807,0.0633,0.00408,0,0.104,0.541,114.984,71
"Superhero (Heroes & Villains) [with Future & Chris Brown]","Metro Boomin",0vjeOZ3Ft5jvAi9SBFJm1j,0.526,0.606,-5.3,0.259,0.152,2.36e-06,0.194,0.492,116.622,90
"Spin Bout U","Drake",2ZL7WZcjuYKi1KUDtp4kCC,0.773,0.701,-6.386,0.0512,0.01,0,0.163,0.203,129.963,85
"Love You Anyway","Luke Combs",3qXsX3mYSsD1DmAvc3PE3N,0.532,0.489,-7.419,0.0311,0.149,0,0.237,0.32,139.807,81
"Fight The Feeling","Rod Wave",7l6nGz4gp6HGs5Cvmdeqe4,0.634,0.538,-9.213,0.0603,0.0514,0,0.099,0.152,168.029,79
"Eyes Closed","Ed Sheeran",07bsRv0pcpbG4zJeLsUs1p,0.777,0.526,-6.221,0.0645,0.302,0,0.105,0.389,107.071,89
"Until I Found You","Stephen Sanchez",0T5iIrXA4p5GsubkhuBIKV,0.539,0.508,-6.05,0.0288,0.727,0,0.174,0.227,101.358,86
"CUFF IT","Beyoncé",1xzi1Jcr7mEi9K2RfzLOqS,0.78,0.689,-5.668,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,89
"Going, Going, Gone","Luke Combs",67AdiJcurlf6gocGobfaXs,0.565,0.56,-6.034,0.0275,0.538,0,0.0961,0.325,159.931,80
"Bloody Mary","Lady Gaga",11BKm0j4eYoCPPpCONAVwA,0.591,0.637,-6.365,0.03,0.0107,1.95e-06,0.113,0.432,99.998,77
"golden hour","JVKE",5odlY52u43F5BjByhxg7wg,0.515,0.593,-4.801,0.0322,0.653,0.162,0.25,0.153,94.467,91
"Next Thing You Know","Jordan Davis",2lNTHWu2I5Tcz9ukWsV5Jj,0.557,0.597,-8.296,0.048,0.646,0,0.0974,0.414,78.526,77
"PRC","Peso Pluma",2mpoNBkngUEwnaKoBhZ0vl,0.784,0.826,-6.34,0.0538,0.0965,7.09e-05,0.123,0.893,138.078,95
"Wild as Her","Corey Kent",4RG7P0CXQ4pe0OeCAHjX5L,0.504,0.736,-6.079,0.0352,0.00216,0,0.129,0.46,148.014,78
"Por las Noches","Peso Pluma",2VzCjpKvPB1l1tqLndtAQa,0.807,0.595,-7.19,0.0325,0.31,2.44e-05,0.0735,0.392,92.491,92
"Like Crazy","Jimin",3Ua0m0YmEjrMi9XErKcNiR,0.629,0.733,-5.445,0.0419,0.0025,0,0.357,0.362,120.001,92
"AMG","Natanael Cano",1lRtH4FszTrwwlK5gTSbXO,0.772,0.73,-6.657,0.0972,0.152,0.000107,0.274,0.786,136.175,95
"HAPPY","NF",3ZEno9fORwMA1HPecdLi0R,0.732,0.855,-4.064,0.0415,0.306,0,0.12,0.221,106.004,84
