name, artist, id, danceability, energy, loudness, speechiness, acousticness, instrumentalness, liveness, valence, tempo, popularity
Desert Star,Ruby Red,4uiF1V2eIPSMgR2V4smhCC,0.789,0.408,-8.07,0.036,0.231,0.00797,0.0829,0.491,136.979,37
PINCH ME,young friend,14QUJhbXCWO90NfZ0mXnGG,0.777,0.465,-10.55,0.0501,0.621,0,0.0932,0.757,113.003,66
BACC WEST,YSB Eli,4NPMw50wQZHINMjzGYs4xr,0.859,0.59,-8.265,0.761,0.0304,0,0.0893,0.49,155.118,20
forest ave,Sfven,5erRkajLz0wfz4VRks4adQ,0.614,0.437,-9.215,0.0609,0.518,0.00387,0.205,0.168,71.638,18
Flew By You,KayCyy,3BpOgYL0N3Bv33cj8hQY8i,0.805,0.357,-10.958,0.349,0.0121,4.94E-05,0.0842,0.139,155.966,29
Pushin' Thru It,James Ivy,2zdl37IauOeAFxgJsEFVMo,0.355,0.84,-5.169,0.0747,0.00447,1.25E-05,0.065,0.266,187.306,32
Finna Charge,Whookilledkenny,1qezHwAepeit34ADMFtnMJ,0.952,0.732,-6.396,0.194,0.297,0.0205,0.0684,0.889,122.026,34
Time Goes By,Take Van,6QXoQhDw7HyTQvbdtIJBh3,0.591,0.584,-8.644,0.0336,0.0265,0.803,0.153,0.422,87.007,31
Drive,CHASE WRIGHT,2zqHx2d8a0NfhoE7wVJqqK,0.604,0.839,-5.166,0.0638,0.0919,0,0.142,0.761,144.067,52
everything sucks,vaultboy,3z06k8YF9CqX0CGFrlekOK,0.76,0.371,-8.964,0.0531,0.00772,0,0.0785,0.653,138.023,75
Blue Skies,dexter in the newsagent,7rcyrazjG6Cul3rloDhAcR,0.744,0.703,-5.034,0.0679,0.852,0.00274,0.449,0.864,99.008,53
On Time For Her,Sans Soucis,4Y5ew6TxDKSirbM8wHYbms,0.611,0.192,-13.621,0.0457,0.913,0.135,0.0978,0.484,83.97,26
It's Depression (feat. Middle Part),Anna Shoemaker,6wxdyMsMqUHOeMffm1Gsch,0.612,0.805,-3.963,0.0711,7.58E-05,0.000785,0.0837,0.7,160.116,43
Lqi,Alain Pardo,1xZjULxG4J36N6J5pycnAt,0.687,0.344,-10.966,0.0511,0.019,0,0.0729,0.634,94.034,15
Modelo,Chicocurlyhead,0w9QFO4qIQd2Mik73UFFzS,0.594,0.666,-5.237,0.211,0.565,0,0.0891,0.507,81.75,39
Bluegrass,E the profit,6U59xekWOtch0p4MOWbv9L,0.781,0.479,-8.385,0.411,0.0249,0,0.168,0.72,149.904,51
Think About Me,Maggie Baugh,0onq6klC19tB7MT54gob65,0.468,0.492,-10.194,0.099,0.65,0,0.068,0.307,175.903,32
Bolero,Bathe,74i9MJfZdRhcv6XnAfwjBA,0.734,0.473,-10.107,0.0424,0.644,0.0164,0.0998,0.471,107.454,42
Bangin,Paul Pablo,0ZVXBU8LCG0HutT5Oa8eI4,0.769,0.602,-7.3,0.0312,0.0923,0.0229,0.0594,0.527,104.992,41
How Long Have You Been Away?,kryptogram,0W1jh3ExLv0nMvvmNJOBxh,0.806,0.753,-6.247,0.0534,0.031,0.5,0.0545,0.846,122.99,50
Camille,Ana Roxanne,6VI6LnXQSm7NI7ptuQ7Dl4,0.627,0.321,-18.837,0.0521,0.813,0.914,0.116,0.784,169.046,38
Somebody I F*cked Once,Zolita,73uoSkdELRTmovsYkbmHlB,0.424,0.701,-5.18,0.0332,0.00336,3.94E-05,0.0827,0.478,176.032,59
bad day,sammy rash,5612zrK8d3HhPCobx2Kuci,0.775,0.303,-8.131,0.401,0.696,0,0.0992,0.879,181.997,51
i only want you when i'm fucked up,Quelle Rox,0W0qBaCp84sKDlQdvShs9n,0.74,0.566,-5.948,0.0426,0.132,0.000695,0.307,0.493,119.956,32
ojitos caramelo,Gala Nell,42fEi9btF7pTboFbvm36ZF,0.63,0.295,-9.952,0.391,0.894,0,0.243,0.502,64.655,56
"Time Goes ""Bye""",Jex Nwalor,5JIkpWBTRbDUacnjHeBwt9,0.645,0.261,-11.578,0.0627,0.696,4.38E-05,0.118,0.216,123.742,57
Tendril,Lyra Pramuk,4ZRQpRpeqICEqlTcDzGVWX,0.202,0.243,-9.905,0.0285,0.629,0.00136,0.128,0.124,93.201,30
fxck it then,Yaya Bey,6C6CivPw9ew0qPgvvbSloL,0.495,0.599,-8.266,0.215,0.757,0.000113,0.387,0.55,126.531,52
Dragonfly,Fauness,1hjAmj9H76OpPHs02Fbb5g,0.73,0.608,-6.974,0.031,0.00943,0.000617,0.0704,0.874,119.987,31
sophomore sweetheart,sunflower tape machine,3PaBfBBp3jJw6sxMp0E669,0.543,0.959,-7.673,0.0487,0.00202,0.68,0.0964,0.947,159.986,41
Since I Got On,Kevin Powers,5Z4GK9abBnD6QVJijpatvU,0.833,0.425,-8.962,0.0724,0.202,1.89E-06,0.138,0.276,115.941,40
we made it.,david hugo,0KpAm8TtyHPZmxdPO7npYO,0.653,0.515,-7.906,0.267,0.0706,0,0.0756,0.674,176.05,55
" Oh, But Lover",Haiva Ru,3bHeVMbA84wmuHr5p2POrp,0.628,0.504,-10.092,0.0482,0.345,1.71E-05,0.334,0.375,126.083,34
All Made Up,Squidgenini,71nnIbgnEsxPXyubrlNf6Z,0.62,0.58,-8.969,0.337,0.347,0.000181,0.077,0.255,119.896,32
Trap Salsa,NOKKI CABRERA,736NMAWokZxwV7oLQzj8OH,0.702,0.865,-5.999,0.072,0.0705,0,0.0352,0.33,98.006,19
Still Not Made It,Tadhg Daly,6FG7ys3vNRSrTEdE4EnpDo,0.677,0.655,-6.662,0.0945,0.107,0,0.276,0.435,82.988,30
Reverie,Beautify Junkyards,3SliuInyApsQsaDwCDbbvY,0.545,0.647,-9.257,0.0333,0.721,0.817,0.173,0.177,111.011,28
Got Me (Feelin' Like),Olivia Escuyos,3PkTWWD9NDIN82BwuB3yOe,0.627,0.478,-8.724,0.0396,0.511,0.000194,0.132,0.358,103.89,33
Already,Rochelle Jordan,0Bef4OMTKyY908qrX0O0cs,0.812,0.616,-8.907,0.18,0.044,0.0904,0.11,0.507,117.998,43
Reassemble,Sampology,1hUh5SnrnZv1ROMyroR8R6,0.573,0.513,-12.665,0.0303,0.582,0.565,0.139,0.538,122.988,16
Deep Blue,Donkey Kid,1c6xkwwhc0T5JdU2oiTFkH,0.837,0.426,-10.645,0.0461,0.0119,0.000331,0.0899,0.671,111.018,42
Pissed in the Morning,Ricky James,37MEdkEWiuRRxzKmzzgaHb,0.601,0.456,-7.454,0.0384,0.000157,0.000219,0.236,0.692,82.493,19
White Picket Fence,psykhi,6siOHdRw7Y4g0NmAZ5bweV,0.551,0.8,-4.813,0.0347,0.103,0,0.111,0.811,164.127,29
Baby Choppa,Rot Ken,3oQfAuWO64dSVo2JYfdK3x,0.791,0.578,-6.356,0.261,0.00288,0,0.375,0.708,159.895,33
1111,Paty B,4MsZ2HwRZyyFSEhIgYxjCB,0.589,0.618,-5.691,0.0475,0.362,1.73E-05,0.237,0.217,97.819,18
Still Miss U,DJ_Dave,3C3rtf7n8TNyUarr5fnRMW,0.566,0.764,-10.63,0.0295,0.0493,0.359,0.122,0.199,130.004,35
